L,C,fsw,iload,rds_on,vout_max,vout_min,ripple,pin_avg,pout_avg,efficiency_spice,vin,vout,duty_cycle,delta_il,ccm,delta_vout,p_cond,p_sw,p_total_loss,efficiency_analytical,vout_spice,vout_error_pct,efficiency_error_pct,ripple_error_pct,Q_factor,ripple_abs_error
1.7455700329304265e-05,0.0002700087613387,132100.7854656334,3.7672232526326495,0.0376032054698879,4.74873209,4.74328053951,0.0054515504900001,-17.8813847284,16.9724053377,0.949166163330946,12.0,5.0,0.4166666666666667,1.264864841035496,True,0.0170813743112946,0.3677016950583274,0.1194367561673211,0.4871384512256485,0.9747900414073152,4.746006314755,-5.079873704899995,-2.6286561195655676,-68.0848250811095,5.219981162552813,-0.011629823821294502
2.4770529061295253e-05,0.0001141426701836,351970.3519862609,3.250869454630174,0.0106300292174966,4.79509878159,4.79371356964,0.0013852119499997,-15.6011796344,14.9451263084,0.9579484794500136,12.0,5.0,0.4166666666666667,0.3345379823336045,True,0.0043862614338709,0.1526243291928558,0.274610319889816,0.4272346490826718,0.9743888408740634,4.794406175615,-4.111876487699995,-1.6872485330704516,-68.41930261376959,3.3016181792658026,-0.0030010494838712
7.980922796327597e-06,0.0002716627297288,841693.6069048521,1.719979753487216,0.0217003824443166,4.8101067543,4.80823469162,0.0018720626799995,-8.29207412721,7.95586143336,0.9594537278982184,12.0,5.0,0.4166666666666667,0.4341898433449501,True,0.004579257368279,0.056631160263702,0.3474470310038335,0.4040781912675356,0.9551222539639068,4.809170722959999,-3.8165855408000127,0.4534994254751424,-59.118640219536985,16.960363069519353,-0.0027071946882795
3.901861616419186e-05,0.0002449505867223,672604.6285730139,2.749190893481848,0.019516973248031,4.8037071228,4.78717470169,0.0165324211099999,-13.1836011586,12.6419123991,0.9589119275542828,12.0,5.0,0.4166666666666667,0.1111360825101383,True,0.0011956800802408,0.1370617812851906,0.4437884447488009,0.5808502260339916,0.9594570988812444,4.795440912245,-4.091181755100006,-0.05682081331174905,1282.6793122346246,4.55688866976305,0.0153367410297591
4.510132520318782e-06,0.0001014261180548,933655.2846890003,0.8733527617922595,0.0320767650856321,4.82000398636,4.81884431839,0.0011596679699996,-4.21900750718,4.05710433376,0.9616252938293024,12.0,5.0,0.4166666666666667,0.6926453702880062,True,0.0078407449985542,0.0187559219538512,0.1956985011468184,0.2144544231006696,0.953188341563867,4.819424152374999,-3.6115169525000117,0.8851296115931446,-85.20972216015905,27.149420048109913,-0.006681077028554599
3.790897361033496e-05,3.474849206779352e-05,466073.9577853467,2.743455719113683,0.0484676915543269,4.76071859896,4.75941038132,0.0013082176399992,-13.076918298,12.4325507995,0.9507248203425304,12.0,5.0,0.4166666666666667,0.1650782800025812,True,0.002924899324431,0.2273317579180378,0.3068767836038781,0.534208541521916,0.9625155931880536,4.7600644901399995,-4.798710197200009,-1.2249955147707996,-55.27307114224534,1.7448938740020428,-0.0016166816844318
3.366064215745618e-05,0.0003506237008965,273693.7989558107,0.8278052085340925,0.0458033753878571,4.84881162643,4.76265461504,0.0861570113900001,-4.1147613093,3.83037246968,0.9308857019294808,12.0,5.0,0.4166666666666667,0.3165916407435343,True,0.0035783017581882,0.0201735822524522,0.0543756365565846,0.0745492188090369,0.9823073721999068,4.805733120735,-3.8853375853000043,-5.23478411398518,2307.762598356823,19.494014554154575,0.0825787096318119
2.8356537338811163e-05,4.241363249689424e-05,452826.5136598646,0.1733899790363336,0.0093672670425278,4.83747434616,4.82035112381,0.0171232223499995,-0.83877713087,0.80859530434,0.96401687001326,12.0,5.0,0.4166666666666667,0.2271442531391722,True,0.0037497829466286,0.000477758472708,0.0188437391305392,0.0193214976032472,0.9781991185086842,4.828912734985,-3.421745300300003,-1.449832475523577,356.64569372994913,35.26729463366514,0.013373439403370898
2.226825313027854e-05,0.0004527215354037,985181.877069111,3.015609276197779,0.0195864146779486,4.81024265289,4.77111291885,0.0391297340400003,-14.5469677008,13.8499592916,0.9520856563693568,12.0,5.0,0.4166666666666667,0.1329487427478858,True,0.0013667477559995,0.1651811111312056,0.7130216657355722,0.878202776866778,0.9449618285488844,4.790677785870001,-4.186444282599986,0.7538746651186933,2762.981400059794,7.475968038202868,0.0377629862840008
3.705031415102124e-05,0.0002926115395149,247006.7682259986,3.395631217469953,0.0199225730584521,4.7857546556,4.76870345533,0.01705120027,-16.255371818,15.5074197642,0.9539873918496424,12.0,5.0,0.4166666666666667,0.3187029255038605,True,0.0037382121867454,0.2111719654115896,0.2012985343474958,0.4124704997590854,0.976282021944808,4.777229055465,-4.4554188907000025,-2.283626000891974,356.1324884247753,4.13808363473366,0.0133129880832546
