L,C,fsw,rds_on,efficiency,ripple,p_total_loss
4.514207170541454e-05,8.351926122725215e-05,120394.87761621324,0.005121780576228737,0.9685460622069503,0.0095145374511981,0.35690847399859593
3.334500736472465e-05,0.00015815503282789794,105383.91189765163,0.005100976987832388,0.9691081340071822,0.015266493562994957,0.33755699724281996
3.1552819018317615e-05,0.0001478480184726594,141773.87394340444,0.005120516217299828,0.9676112825629378,0.011885559786497116,0.33901292056391175
2.941839605819716e-05,0.00011699903387757144,121353.57878181466,0.005102841267655849,0.968617518682617,0.012250868414869307,0.34585172862137525
2.6192016078237472e-05,3.79973561050061e-05,154653.2352249945,0.0051001585877627365,0.9668975670529784,0.019801510309209822,0.32770647456936564
4.518999715508412e-05,8.396781242402827e-05,121652.86019499032,0.00517037472330777,0.9684248263594771,0.009183706526985167,0.35881211969285176
4.507740133315017e-05,8.442809855228645e-05,115511.93246251362,0.005100275817589866,0.9687972361800338,0.009822225940754412,0.3542379623952405
4.506815569246601e-05,8.404641795972277e-05,175826.93166326513,0.0051593059459922996,0.9662651712653304,0.00393456481151819,0.3367516805797073
1.3027052706283454e-05,1.5651433243199643e-05,154640.63609439903,0.005100230520886092,0.9673786361409605,0.0954006331016922,0.33107721408896174
2.946149038716877e-05,2.8297130154143258e-05,156162.75610732156,0.005100030504416271,0.9669131238652647,0.020508250032892226,0.3287563284306976
